Date,Truck_ID,Operator_ID,Route,Distance_km,Fuel_Litres,Idle_Minutes,Load_Tonnes,Trip_Hours,Avg_Speed_kmh,Fuel_Efficiency_km_per_L,Expected_Anomaly,Specific_Fuel_Consumption,Idling_Ratio,Speed_Consistency_Index,Operator_Efficiency_Dviation,Route_Fuel_ZScore,ZScore_Anomaly,IForest_Anomaly,Risk_Score
2025-01-06,TR003,OP036,West Pit,74.43,40.79,36.4,170.5,3.9,19.1,1.825,0,0.0032142622149253187,0.15555555555555556,4.897435897435898,-1.5098476370847602,-0.4771208949211143,0,0,0
2025-09-07,TR029,OP001,Crusher,47.59,27.68,34.9,232.9,1.56,30.5,1.719,0,0.0024973585110618633,0.3728632478632478,19.55128205128205,-1.5750034550287695,-0.6370904919330165,0,0,0
2025-08-05,TR025,OP037,South Pit,45.66,23.28,75.9,67.8,2.5,18.3,1.961,0,0.0075199919373282334,0.506,7.32,-1.5175916097682824,-0.1597957992115715,0,0,0
2025-01-20,TR017,OP004,East Pit,52.77,29.64,68.0,136.8,1.99,26.6,1.78,0,0.004105868233213315,0.5695142378559463,13.366834170854272,-1.615823098991668,-0.5655798064723813,0,0,0
2025-11-28,TR018,OP002,East Pit,110.53,48.42,26.4,101.5,3.97,27.8,2.283,0,0.004315971545963715,0.11083123425692694,7.002518891687657,-1.54101888812668,0.42299968266742893,0,0,0
2025-03-22,TR016,OP001,East Pit,100.1,32.44,15.2,121.5,2.77,36.1,3.086,0,0.002667291556180445,0.0914560770156438,13.032490974729242,-1.5750034550287695,2.0011892050914204,0,0,0
2025-04-04,TR030,OP048,South Pit,61.81,25.84,63.2,93.3,3.0,20.6,2.392,0,0.004480764532182346,0.35111111111111115,6.866666666666667,-1.2988252658331414,0.6986874621729019,0,0,0
2025-03-09,TR029,OP026,East Pit,112.14,45.09,47.1,133.8,3.45,32.5,2.487,0,0.0030051321178443664,0.22753623188405797,9.420289855072463,-1.5761950128133722,0.8239345053006725,0,0,0
2025-05-02,TR014,OP025,South Pit,114.51,67.06,59.0,212.8,3.51,32.6,1.708,0,0.0027520005147792194,0.2801519468186135,9.287749287749289,-1.5900739665872146,-0.6637314491657987,0,0,0
2025-03-06,TR017,OP010,West Pit,104.72,62.57,64.5,42.2,3.2,32.7,1.674,0,0.014158722515287889,0.3359375,10.21875,-1.5070212993963765,-0.7770656567205451,0,0,0
